His|Partner,num_of_PATRON_DEPT,8,图书馆,教务处,出版社,门诊部,图书馆1,公共经济管理学院,财经研究所,未知,法学院,会计学院,馆内,经济学院,继续教育学院,商学院,两办,公共经济与管理学院,数学学院,离退休工作处,金融学院,财务处,外语系,马克思主义理论教学科研部,信息化办公室,研究生院,人文学院,国际工商管理学院,信息管理与工程学院,统计与管理学院,马克思主义研究院,外国语学院,应用数学系,宣传部,国际教育学院,科研处,上财后勤实业中心,MPAcc中心,人事处,职业技术学院,MPACC,J.M中心,税务硕士（税收风险控制与管理）,体育教学部,国际文化交流学院,博士后流动站,党委组织部,医疗健康服务中心,中国公共财政研究院,上海市金融信息技术研究重点实验室,金融硕士（财富管理）,MPA学院,J.M教育中心,纪监处,合作发展处,MPA教育中心,应用统计硕士（金融投资与风险管理）,MPACC中心,MPA中心,高等教育研究院,档案馆,两办（党办、校办合署）,工程管理硕士（MEM）,纪监处（纪委、监察审计处合署）,统计学系,信息管理与工程,高等研究院,现代服务科学与技术研究中心,教育技术中心,发展规划处,国际处,高等教育研究所,total_num_of_partner,ratio_diffrent
图书馆,57.0,0.0,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.017543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03508771929824561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03508771929824561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.16666666666666663
教务处,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
出版社,4.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
门诊部,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
图书馆1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公共经济管理学院,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
未知,6.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0
法学院,505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013861386138613862,0.0,0.6495049504950495,0.07128712871287128,0.0,0.053465346534653464,0.0,0.0,0.0,0.14455445544554454,0.01782178217821782,0.0,0.08514851485148515,0.0,0.005940594059405941,0.0,0.0,0.0,0.041584158415841586,0.17227722772277226,0.1485148514851485,0.1504950495049505,0.01782178217821782,0.011881188118811881,0.007920792079207921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013861386138613862,0.0,0.0019801980198019802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039603960396039604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,814.0,0.597051597051597
会计学院,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007272727272727273,0.0,0.03272727272727273,0.6027272727272728,0.0,0.05181818181818182,0.0,0.0009090909090909091,0.0,0.12,0.01,0.0,0.08272727272727273,0.0,0.004545454545454545,0.0,0.0,0.0,0.03272727272727273,0.15636363636363637,0.12,0.1,0.011818181818181818,0.007272727272727273,0.0036363636363636364,0.0,0.0,0.0,0.0,0.0009090909090909091,0.0,0.0,0.0,0.0036363636363636364,0.0,0.0009090909090909091,0.004545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1490.0,0.5550335570469799
馆内,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
经济学院,844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022511848341232227,0.001184834123222749,0.031990521327014215,0.06753554502369669,0.0,0.8388625592417062,0.0,0.001184834123222749,0.0,0.12322274881516587,0.013033175355450236,0.0,0.10071090047393365,0.0,0.0035545023696682463,0.0,0.0,0.0,0.0462085308056872,0.19194312796208532,0.1362559241706161,0.1386255924170616,0.014218009478672985,0.008293838862559242,0.004739336492890996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001184834123222749,0.0071090047393364926,0.002369668246445498,0.001184834123222749,0.001184834123222749,0.0,0.0,0.0,0.0,0.0,0.0,0.001184834123222749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1484.0,0.522911051212938
